DriveID,Driver,Vehicle,GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),Mass Air Flow Rate(cfm),Accel Pedal Pos #1(%)
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:04 CST 2013,30:04.2,-86.66517264,34.64739907,17,3,146.1999969,269.9,1.40228391,9.9129858,6.71683216,0.24796003,105.7978745,29.27807617,15.68627453
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:05 CST 2013,30:05.2,-86.66535615,34.64739667,16.75,3,146.1000061,269.9,-0.10178833,8.98850822,7.22577381,0.19466072,71.51152802,42.59358215,18.43137169
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:06 CST 2013,30:06.2,-86.66553513,34.64739599,16.75,3,146.1000061,269.9,-2.28365111,9.4387722,8.27598953,0.31963319,62.94944,47.56684494,19.2156868
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:07 CST 2013,30:07.2,-86.66571529,34.64739442,16.5,3,145.6000061,270,-0.30656251,6.541996,5.5720129,-0.10446793,60.69758606,49.3315506,19.2156868
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:08 CST 2013,30:08.2,-86.6658926,34.64739459,16.5,3,145.1000061,270,1.27295291,6.25579119,5.78037977,-0.10311097,59.34661102,50.45454407,19.6078434
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:09 CST 2013,30:09.2,-86.66607004,34.64739531,16.5,3,144.6000061,270,0.11975098,6.10370731,6.27016115,-0.08892488,59.72642899,50.13368988,19.6078434
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:10 CST 2013,30:10.2,-86.66624945,34.64739838,16.5,3,144.6000061,269.9,-0.0742456,9.07353115,6.47254038,0.15516442,67.74775696,44.19786072,18.43137169
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:11 CST 2013,30:11.2,-86.66643067,34.64739783,16.5,4,144.1000061,269.7,1.1508069,7.66525984,5.85223007,0.0090428,72.06374359,41.55080032,18.8235302
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:12 CST 2013,30:12.2,-86.66661136,34.64739521,16.5,3,143.3999939,269.5,-0.91609496,8.27120018,6.76353502,0.11213797,85.81383514,34.89304733,16.86274529
Sue - Wed Nov 20 16:26:58 CST 2013,Sue,Civic,Wed Nov 20 16:30:13 CST 2013,30:13.2,-86.66679122,34.64739275,16.5,3,142.8999939,269.4,-0.01916016,7.49281883,6.31087637,0.01761574,106.654335,28.07486534,15.68627453
